category	item	attribute	answer	page_url
countries_byGDP	Netherlands	King of the Netherlands	Willem-Alexander of the Netherlands	https://en.wikipedia.org/wiki/Netherlands
countries_byGDP	Colombia	President of Colombia	Gustavo Petro	https://en.wikipedia.org/wiki/Colombia
countries_byGDP	Nigeria	President of Nigeria	Bola Tinubu	https://en.wikipedia.org/wiki/Nigeria
athletes_byPayment	Erling Haaland		Manchester City F.C.	https://en.wikipedia.org/wiki/Erling_Haaland
athletes_byPayment	Carlos Sainz Jr.		Scuderia Ferrari	https://en.wikipedia.org/wiki/Carlos_Sainz_Jr
countries_byGDP	Romania	Prime Minister of Romania	Marcel Ciolacu	https://en.wikipedia.org/wiki/Romania
companies_byRevenue	Amazon		Andy Jassy	https://en.wikipedia.org/wiki/Amazon
countries_byGDP	France	Prime Minister of France	Élisabeth Borne	https://en.wikipedia.org/wiki/France
countries_byGDP	Finland	Prime Minister of Finland	Petteri Orpo	https://en.wikipedia.org/wiki/Finland
athletes_byPayment	LeBron James		Los Angeles Lakers	https://en.wikipedia.org/wiki/LeBron_James
countries_byGDP	Pakistan	Prime Minister of Pakistan	Shehbaz Sharif	https://en.wikipedia.org/wiki/Pakistan
countries_byGDP	Spain	Prime Minister of Spain	Pedro Sánchez	https://en.wikipedia.org/wiki/Spain
athletes_byPayment	Lewis Hamilton		Mercedes F1 Team	https://en.wikipedia.org/wiki/Lewis_Hamilton
companies_byRevenue	Mitsubishi		Takehiko Kakiuchi	https://en.wikipedia.org/wiki/Mitsubishi
countries_byGDP	Australia	Prime Minister of Australia	Anthony Albanese	https://en.wikipedia.org/wiki/Australia
countries_byGDP	Egypt	Prime Minister of Egypt	Mostafa Madbouly	https://en.wikipedia.org/wiki/Egypt
countries_byGDP	Austria	President of Austria	Alexander Van der Bellen	https://en.wikipedia.org/wiki/Austria
countries_byGDP	Poland	Prime Minister of Poland	Donald Tusk	https://en.wikipedia.org/wiki/Poland
countries_byGDP	Denmark	Prime Minister of Denmark	Mette Frederiksen	https://en.wikipedia.org/wiki/Denmark
countries_byGDP	United Kingdom	monarch of the United Kingdom	Charles III of the United Kingdom	https://en.wikipedia.org/wiki/United_Kingdom
countries_byGDP	United Kingdom	Prime Minister of the United Kingdom	Rishi Sunak	https://en.wikipedia.org/wiki/United_Kingdom
countries_byGDP	France	President of the French Republic	Emmanuel Macron	https://en.wikipedia.org/wiki/France
organizations	North Atlantic Treaty Organization	headquarters location	City of Brussels	https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization
countries_byGDP	Germany	Federal Chancellor of Germany	Olaf Scholz	https://en.wikipedia.org/wiki/Germany
countries_byGDP	Finland	President of Finland	Sauli Niinistö	https://en.wikipedia.org/wiki/Finland
countries_byGDP	Sweden	Monarch of Sweden	Carl XVI Gustaf of Sweden	https://en.wikipedia.org/wiki/Sweden
organizations	International Olympic Committee	chairperson	Thomas Bach	https://en.wikipedia.org/wiki/International_Olympic_Committee
countries_byGDP	Turkey	Prime Minister of Turkey	Recep Tayyip Erdoğan	https://en.wikipedia.org/wiki/Turkey
athletes_byPayment	Cristiano Ronaldo		Al-Nassr	https://en.wikipedia.org/wiki/Cristiano_Ronaldo
countries_byGDP	Israel	Prime Minister of Israel	Benjamin Netanyahu	https://en.wikipedia.org/wiki/Israel
athletes_byPayment	Bradley Beal		Phoenix Suns	https://en.wikipedia.org/wiki/Bradley_Beal
athletes_byPayment	Sadio Mané		Al-Nassr	https://en.wikipedia.org/wiki/Sadio_Mané
companies_byRevenue	Cencora, Inc.		Steven H. Collis	https://en.wikipedia.org/wiki/Cencora_Inc
countries_byGDP	Bangladesh	Prime Minister of Bangladesh	Sheikh Hasina	https://en.wikipedia.org/wiki/Bangladesh
countries_byGDP	Vietnam	President of Vietnam	Võ Văn Thưởng	https://en.wikipedia.org/wiki/Vietnam
athletes_byPayment	Mohamed Salah		Liverpool F.C.	https://en.wikipedia.org/wiki/Mohamed_Salah
athletes_byPayment	Giannis Antetokounmpo		Milwaukee Bucks	https://en.wikipedia.org/wiki/Giannis_Antetokounmpo
companies_byRevenue	Alphabet Inc.		Sundar Pichai	https://en.wikipedia.org/wiki/Alphabet_Inc
athletes_byPayment	Lando Norris		McLaren	https://en.wikipedia.org/wiki/Lando_Norris
countries_byGDP	Japan	Emperor of Japan	Naruhito	https://en.wikipedia.org/wiki/Japan
countries_byGDP	Turkey	President of Turkey	Recep Tayyip Erdoğan	https://en.wikipedia.org/wiki/Turkey
companies_byRevenue	Saudi Aramco		Amin H. Al-Nasser	https://en.wikipedia.org/wiki/Saudi_Aramco
athletes_byPayment	Neymar Jr.		Al-Hilal SFC	https://en.wikipedia.org/wiki/Neymar_Jr
countries_byGDP	India	President of India	Droupadi Murmu	https://en.wikipedia.org/wiki/India
countries_byGDP	Pakistan	President of Pakistan	Arif Alvi	https://en.wikipedia.org/wiki/Pakistan
countries_byGDP	Bangladesh	President of Bangladesh	Mohammad Shahabuddin	https://en.wikipedia.org/wiki/Bangladesh
countries_byGDP	Austria	Federal Chancellor of Austria	Karl Nehammer	https://en.wikipedia.org/wiki/Austria
countries_byGDP	Norway	Monarch of Norway	Harald V of Norway	https://en.wikipedia.org/wiki/Norway
countries_byGDP	Portugal	Prime Minister of Portugal	António Costa	https://en.wikipedia.org/wiki/Portugal
organizations	International Atomic Energy Agency	director / manager	Rafael Grossi	https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
countries_byGDP	Denmark	monarch of Denmark	Margrethe II of Denmark	https://en.wikipedia.org/wiki/Denmark
countries_byGDP	Italy	President of Italy	Sergio Mattarella	https://en.wikipedia.org/wiki/Italy
countries_byGDP	Israel	President of Israel	Isaac Herzog	https://en.wikipedia.org/wiki/Israel
athletes_byPayment	George Russell		Williams Racing	https://en.wikipedia.org/wiki/George_Russell
companies_byRevenue	ExxonMobil		Darren Woods	https://en.wikipedia.org/wiki/ExxonMobil
countries_byGDP	Malaysia	Prime Minister of Malaysia	Anwar Ibrahim	https://en.wikipedia.org/wiki/Malaysia
countries_byGDP	China	President of the People's Republic of China	Xi Jinping	https://en.wikipedia.org/wiki/China
athletes_byPayment	Max Verstappen		Red Bull Racing	https://en.wikipedia.org/wiki/Max_Verstappen
countries_byGDP	Indonesia	President of Indonesia	Joko Widodo	https://en.wikipedia.org/wiki/Indonesia
athletes_byPayment	Kevin De Bruyne		Manchester City F.C.	https://en.wikipedia.org/wiki/Kevin_De_Bruyne
athletes_byPayment	Nikola Jokic		Denver Nuggets	https://en.wikipedia.org/wiki/Nikola_Jokic
countries_byGDP	India	Prime minister of India	Narendra Modi	https://en.wikipedia.org/wiki/India
athletes_byPayment	Lionel Messi		Inter Miami CF	https://en.wikipedia.org/wiki/Lionel_Messi
countries_byGDP	Belgium	Prime Minister of Belgium	Alexander De Croo	https://en.wikipedia.org/wiki/Belgium
athletes_byPayment	Damian Lillard		Milwaukee Bucks	https://en.wikipedia.org/wiki/Damian_Lillard
countries_byGDP	Iran	Supreme Leader of Iran	Ali Khamenei	https://en.wikipedia.org/wiki/Iran
countries_byGDP	Sweden	Prime Minister of Sweden	Ulf Kristersson	https://en.wikipedia.org/wiki/Sweden
